Mine.Name,Product.Type,Product.Subtype,Coal.Brand,Quality.Metric,Value,Unit
Anhui Generic,Thermal,Bituminous,Anhui 5500,SE gar,5000,kcal/kg
Anhui Generic,Thermal,Bituminous,Anhui 5500,SE nar,5000,kcal/kg
Anhui Generic,Thermal,Bituminous,Anhui 5500,TM,5000,%
Anhui Generic,Thermal,Bituminous,Anhui 5500,TS,5000,%
Anhui Generic,Thermal,Bituminous,Anhui 5500,Vitrinite,5000,%
Anhui Generic,Thermal,Bituminous,Anhui 5500,VM,5000,%
Anhui Generic,Metallurgical,HCC,Anhui HCC,AFT IDT Ox,5000,??C
Anhui Generic,Metallurgical,HCC,Anhui HCC,Ash,5000,%
Anhui Generic,Metallurgical,HCC,Anhui HCC,Cl2,5000,%
Anhui Generic,Metallurgical,HCC,Anhui HCC,CSN,5000,Number
Anhui Generic,Metallurgical,HCC,Anhui HCC,CSR,5000,Number
Anhui Generic,Metallurgical,HCC,Anhui HCC,CSR,5000,Number
Anhui Generic,Metallurgical,HCC,Anhui HCC,CSR,5000,Number
Anhui Generic,Metallurgical,HCC,Anhui HCC,FC,5000,%
Anhui Generic,Metallurgical,HCC,Anhui HCC,HGI,5000,Number
Anhui Generic,Metallurgical,HCC,Anhui HCC,IM,5000,%
Anhui Generic,Metallurgical,HCC,Anhui HCC,Max Fluid,5000,ddpm
Anhui Generic,Metallurgical,HCC,Anhui HCC,N,5000,%
Anhui Generic,Metallurgical,HCC,Anhui HCC,P,5000,%
Anhui Generic,Metallurgical,HCC,Anhui HCC,Ro Max,5000,%
Anhui Generic,Metallurgical,HCC,Anhui HCC,SE gad,5000,kcal/kg
Anhui Generic,Metallurgical,HCC,Anhui HCC,SE gar,5000,kcal/kg
Anhui Generic,Metallurgical,HCC,Anhui HCC,SE nar,5000,kcal/kg
Anhui Generic,Metallurgical,HCC,Anhui HCC,TM,5000,%
Anhui Generic,Metallurgical,HCC,Anhui HCC,TS,5000,%
Anhui Generic,Metallurgical,HCC,Anhui HCC,Vitrinite,5000,%
Anhui Generic,Metallurgical,HCC,Anhui HCC,VM,5000,%
Anhui Generic,Metallurgical,HCC,Anhui HCC,VM,5000,%
Anhui Generic,Metallurgical,SCC,Anhui SCC,AFT IDT Ox,5000,??C
Anhui Generic,Metallurgical,SCC,Anhui SCC,Ash,5000,%
Anhui Generic,Metallurgical,SCC,Anhui SCC,Cl2,5000,%
Anhui Generic,Metallurgical,SCC,Anhui SCC,CSN,5000,Number
Anhui Generic,Metallurgical,SCC,Anhui SCC,CSR,5000,Number
Anhui Generic,Metallurgical,SCC,Anhui SCC,FC,5000,%
Anhui Generic,Metallurgical,SCC,Anhui SCC,HGI,5000,Number
Anhui Generic,Metallurgical,SCC,Anhui SCC,IM,5000,%
Anhui Generic,Metallurgical,SCC,Anhui SCC,Max Fluid,5000,ddpm
Anhui Generic,Metallurgical,SCC,Anhui SCC,N,5000,%
Anhui Generic,Metallurgical,SCC,Anhui SCC,P,5000,%
Anhui Generic,Metallurgical,SCC,Anhui SCC,Ro Max,5000,%
Anhui Generic,Metallurgical,SCC,Anhui SCC,SE gad,5000,kcal/kg
Anhui Generic,Metallurgical,SCC,Anhui SCC,SE gar,5000,kcal/kg
Anhui Generic,Metallurgical,SCC,Anhui SCC,SE nar,5000,kcal/kg
Anhui Generic,Metallurgical,SCC,Anhui SCC,TM,5000,%
Anhui Generic,Metallurgical,SCC,Anhui SCC,TS,5000,%
Anhui Generic,Metallurgical,SCC,Anhui SCC,Vitrinite,5000,%
Anhui Generic,Metallurgical,SCC,Anhui SCC,VM,5000,%
Anhui Generic,Metallurgical,SCC,Anhui SCC,VM,5000,%
Anhui KSOE,Thermal,Bituminous,Anhui 5500,AFT IDT Ox,5000,??C
Anhui KSOE,Thermal,Bituminous,Anhui 5500,Ash,5000,%
Anhui KSOE,Thermal,Bituminous,Anhui 5500,Cl2,5000,%
Anhui KSOE,Thermal,Bituminous,Anhui 5500,CSN,5000,Number
Anhui KSOE,Thermal,Bituminous,Anhui 5500,CSR,5000,Number
Anhui KSOE,Thermal,Bituminous,Anhui 5500,FC,5000,%
Anhui KSOE,Thermal,Bituminous,Anhui 5500,HGI,5000,Number
Anhui KSOE,Thermal,Bituminous,Anhui 5500,IM,5000,%
Anhui KSOE,Thermal,Bituminous,Anhui 5500,Max Fluid,5000,ddpm
Anhui KSOE,Thermal,Bituminous,Anhui 5500,N,5000,%
Anhui KSOE,Thermal,Bituminous,Anhui 5500,P,5000,%
Anhui KSOE,Thermal,Bituminous,Anhui 5500,Ro Max,5000,%
Anhui KSOE,Thermal,Bituminous,Anhui 5500,SE gad,5000,kcal/kg
Anhui KSOE,Thermal,Bituminous,Anhui 5500,SE gar,5000,kcal/kg
Anhui KSOE,Thermal,Bituminous,Anhui 5500,SE nar,5000,kcal/kg
Anhui KSOE,Thermal,Bituminous,Anhui 5500,TM,5000,%
Anhui KSOE,Thermal,Bituminous,Anhui 5500,TS,5000,%
Anhui KSOE,Thermal,Bituminous,Anhui 5500,Vitrinite,5000,%
Anhui KSOE,Thermal,Bituminous,Anhui 5500,VM,5000,%
Anhui KSOE,Metallurgical,HCC,Anhui HCC,AFT IDT Ox,5000,??C
Anhui KSOE,Metallurgical,HCC,Anhui HCC,Ash,5000,%
Anhui KSOE,Metallurgical,HCC,Anhui HCC,Cl2,5000,%
Anhui KSOE,Metallurgical,HCC,Anhui HCC,CSN,5000,Number
Anhui KSOE,Metallurgical,HCC,Anhui HCC,CSR,5000,Number
Anhui KSOE,Metallurgical,HCC,Anhui HCC,CSR,5000,Number
Anhui KSOE,Metallurgical,HCC,Anhui HCC,CSR,5000,Number
Anhui KSOE,Metallurgical,HCC,Anhui HCC,FC,5000,%
Anhui KSOE,Metallurgical,HCC,Anhui HCC,HGI,5000,Number
Anhui KSOE,Metallurgical,HCC,Anhui HCC,IM,5000,%
Anhui KSOE,Metallurgical,HCC,Anhui HCC,Max Fluid,5000,ddpm
Anhui KSOE,Metallurgical,HCC,Anhui HCC,N,5000,%
Anhui KSOE,Metallurgical,HCC,Anhui HCC,P,5000,%
Anhui KSOE,Metallurgical,HCC,Anhui HCC,Ro Max,5000,%
Anhui KSOE,Metallurgical,HCC,Anhui HCC,SE gad,5000,kcal/kg
Anhui KSOE,Metallurgical,HCC,Anhui HCC,SE gar,5000,kcal/kg
Anhui KSOE,Metallurgical,HCC,Anhui HCC,SE nar,5000,kcal/kg
Anhui KSOE,Metallurgical,HCC,Anhui HCC,TM,5000,%
Anhui KSOE,Metallurgical,HCC,Anhui HCC,TS,5000,%
Anhui KSOE,Metallurgical,HCC,Anhui HCC,Vitrinite,5000,%
Anhui KSOE,Metallurgical,HCC,Anhui HCC,VM,5000,%
Anhui KSOE,Metallurgical,HCC,Anhui HCC,VM,5000,%
Anhui KSOE,Metallurgical,HCC,Anhui HCC,VM,5000,%
Anhui KSOE,Metallurgical,SCC,Anhui SCC,AFT IDT Ox,5000,??C
Anhui KSOE,Metallurgical,SCC,Anhui SCC,Ash,5000,%
Anhui KSOE,Metallurgical,SCC,Anhui SCC,Cl2,5000,%
Anhui KSOE,Metallurgical,SCC,Anhui SCC,CSN,5000,Number
Anhui KSOE,Metallurgical,SCC,Anhui SCC,CSR,5000,Number
Anhui KSOE,Metallurgical,SCC,Anhui SCC,FC,5000,%
Anhui KSOE,Metallurgical,SCC,Anhui SCC,HGI,5000,Number
Anhui KSOE,Metallurgical,SCC,Anhui SCC,IM,5000,%
Anhui KSOE,Metallurgical,SCC,Anhui SCC,Max Fluid,5000,ddpm
Anhui KSOE,Metallurgical,SCC,Anhui SCC,N,5000,%
Anhui KSOE,Metallurgical,SCC,Anhui SCC,P,5000,%
Anhui KSOE,Metallurgical,SCC,Anhui SCC,Ro Max,5000,%
Anhui KSOE,Metallurgical,SCC,Anhui SCC,SE gad,5000,kcal/kg
Anhui KSOE,Metallurgical,SCC,Anhui SCC,SE gar,5000,kcal/kg
Anhui KSOE,Metallurgical,SCC,Anhui SCC,SE nar,5000,kcal/kg
Anhui KSOE,Metallurgical,SCC,Anhui SCC,TM,5000,%
Anhui KSOE,Metallurgical,SCC,Anhui SCC,TS,5000,%
Anhui KSOE,Metallurgical,SCC,Anhui SCC,Vitrinite,5000,%
Anhui KSOE,Metallurgical,SCC,Anhui SCC,VM,5000,%
Anhui KSOE,Metallurgical,SCC,Anhui SCC,VM,5000,%
Anhui KSOE_Hengyuan Coal,Thermal,Bituminous,Anhui 5500,AFT IDT Ox,5000,??C
Anhui KSOE_Hengyuan Coal,Thermal,Bituminous,Anhui 5500,Ash,5000,%
Anhui KSOE_Hengyuan Coal,Thermal,Bituminous,Anhui 5500,Cl2,5000,%
Anhui KSOE_Hengyuan Coal,Thermal,Bituminous,Anhui 5500,CSN,5000,Number
Anhui KSOE_Hengyuan Coal,Thermal,Bituminous,Anhui 5500,CSR,5000,Number
Anhui KSOE_Hengyuan Coal,Thermal,Bituminous,Anhui 5500,FC,5000,%
Anhui KSOE_Hengyuan Coal,Thermal,Bituminous,Anhui 5500,HGI,5000,Number
Anhui KSOE_Hengyuan Coal,Thermal,Bituminous,Anhui 5500,IM,5000,%
Anhui KSOE_Hengyuan Coal,Thermal,Bituminous,Anhui 5500,Max Fluid,5000,ddpm
Anhui KSOE_Hengyuan Coal,Thermal,Bituminous,Anhui 5500,N,5000,%
Anhui KSOE_Hengyuan Coal,Thermal,Bituminous,Anhui 5500,P,5000,%
Anhui KSOE_Hengyuan Coal,Thermal,Bituminous,Anhui 5500,Ro Max,5000,%
Anhui KSOE_Hengyuan Coal,Thermal,Bituminous,Anhui 5500,SE gad,5000,kcal/kg
Anhui KSOE_Hengyuan Coal,Thermal,Bituminous,Anhui 5500,SE gar,5000,kcal/kg
Anhui KSOE_Hengyuan Coal,Thermal,Bituminous,Anhui 5500,SE nar,5000,kcal/kg
Anhui KSOE_Hengyuan Coal,Thermal,Bituminous,Anhui 5500,TM,5000,%
Anhui KSOE_Hengyuan Coal,Thermal,Bituminous,Anhui 5500,TS,5000,%
Anhui KSOE_Hengyuan Coal,Thermal,Bituminous,Anhui 5500,Vitrinite,5000,%
Anhui KSOE_Hengyuan Coal,Thermal,Bituminous,Anhui 5500,VM,5000,%
Anhui KSOE_Hengyuan Coal,Metallurgical,HCC,Anhui HCC,AFT IDT Ox,5000,??C
Anhui KSOE_Hengyuan Coal,Metallurgical,HCC,Anhui HCC,Ash,5000,%
Anhui KSOE_Hengyuan Coal,Metallurgical,HCC,Anhui HCC,Cl2,5000,%
Anhui KSOE_Hengyuan Coal,Metallurgical,HCC,Anhui HCC,CSN,5000,Number
Anhui KSOE_Hengyuan Coal,Metallurgical,HCC,Anhui HCC,CSR,5000,Number
Anhui KSOE_Hengyuan Coal,Metallurgical,HCC,Anhui HCC,CSR,5000,Number
Anhui KSOE_Hengyuan Coal,Metallurgical,HCC,Anhui HCC,CSR,5000,Number
Anhui KSOE_Hengyuan Coal,Metallurgical,HCC,Anhui HCC,FC,5000,%
Anhui KSOE_Hengyuan Coal,Metallurgical,HCC,Anhui HCC,HGI,5000,Number
Anhui KSOE_Hengyuan Coal,Metallurgical,HCC,Anhui HCC,IM,5000,%
Anhui KSOE_Hengyuan Coal,Metallurgical,HCC,Anhui HCC,Max Fluid,5000,ddpm
Anhui KSOE_Hengyuan Coal,Metallurgical,HCC,Anhui HCC,N,5000,%
Anhui KSOE_Hengyuan Coal,Metallurgical,HCC,Anhui HCC,P,5000,%
Anhui KSOE_Hengyuan Coal,Metallurgical,HCC,Anhui HCC,Ro Max,5000,%
Anhui KSOE_Hengyuan Coal,Metallurgical,HCC,Anhui HCC,SE gad,5000,kcal/kg
Anhui KSOE_Hengyuan Coal,Metallurgical,HCC,Anhui HCC,SE gar,5000,kcal/kg
Anhui KSOE_Hengyuan Coal,Metallurgical,HCC,Anhui HCC,SE nar,5000,kcal/kg
Anhui KSOE_Hengyuan Coal,Metallurgical,HCC,Anhui HCC,TM,5000,%
Anhui KSOE_Hengyuan Coal,Metallurgical,HCC,Anhui HCC,TS,5000,%
Anhui KSOE_Hengyuan Coal,Metallurgical,HCC,Anhui HCC,Vitrinite,5000,%
Anhui KSOE_Hengyuan Coal,Metallurgical,HCC,Anhui HCC,VM,5000,%
Anhui KSOE_Hengyuan Coal,Metallurgical,HCC,Anhui HCC,VM,5000,%
Anhui KSOE_Hengyuan Coal,Metallurgical,HCC,Anhui HCC,VM,5000,%
Anhui KSOE_Hengyuan Coal,Metallurgical,SCC,Anhui SCC,AFT IDT Ox,5000,??C
Anhui KSOE_Hengyuan Coal,Metallurgical,SCC,Anhui SCC,Ash,5000,%
Anhui KSOE_Hengyuan Coal,Metallurgical,SCC,Anhui SCC,Cl2,5000,%
Anhui KSOE_Hengyuan Coal,Metallurgical,SCC,Anhui SCC,CSN,5000,Number
Anhui KSOE_Hengyuan Coal,Metallurgical,SCC,Anhui SCC,CSR,5000,Number
Anhui KSOE_Hengyuan Coal,Metallurgical,SCC,Anhui SCC,FC,5000,%
Anhui KSOE_Hengyuan Coal,Metallurgical,SCC,Anhui SCC,HGI,5000,Number
Anhui KSOE_Hengyuan Coal,Metallurgical,SCC,Anhui SCC,IM,5000,%
Anhui KSOE_Hengyuan Coal,Metallurgical,SCC,Anhui SCC,Max Fluid,5000,ddpm
Anhui KSOE_Hengyuan Coal,Metallurgical,SCC,Anhui SCC,N,5000,%
Anhui KSOE_Hengyuan Coal,Metallurgical,SCC,Anhui SCC,P,5000,%
Anhui KSOE_Hengyuan Coal,Metallurgical,SCC,Anhui SCC,Ro Max,5000,%
Anhui KSOE_Hengyuan Coal,Metallurgical,SCC,Anhui SCC,SE gad,5000,kcal/kg
Anhui KSOE_Hengyuan Coal,Metallurgical,SCC,Anhui SCC,SE gar,5000,kcal/kg
Anhui KSOE_Hengyuan Coal,Metallurgical,SCC,Anhui SCC,SE nar,5000,kcal/kg
Anhui KSOE_Hengyuan Coal,Metallurgical,SCC,Anhui SCC,TM,5000,%
Anhui KSOE_Hengyuan Coal,Metallurgical,SCC,Anhui SCC,TS,5000,%
Anhui KSOE_Hengyuan Coal,Metallurgical,SCC,Anhui SCC,Vitrinite,5000,%
Anhui KSOE_Hengyuan Coal,Metallurgical,SCC,Anhui SCC,VM,5000,%
Anhui KSOE_Hengyuan Coal,Metallurgical,SCC,Anhui SCC,VM,5000,%
Anhui KSOE_Huaibei Mining,Metallurgical,HCC,Anhui HCC,AFT IDT Ox,5000,??C
Anhui KSOE_Huaibei Mining,Metallurgical,HCC,Anhui HCC,Ash,5000,%
Anhui KSOE_Huaibei Mining,Metallurgical,HCC,Anhui HCC,Cl2,5000,%
Anhui KSOE_Huaibei Mining,Metallurgical,HCC,Anhui HCC,CSN,5000,Number
Anhui KSOE_Huaibei Mining,Metallurgical,HCC,Anhui HCC,CSR,5000,Number
Anhui KSOE_Huaibei Mining,Metallurgical,HCC,Anhui HCC,CSR,5000,Number
Anhui KSOE_Huaibei Mining,Metallurgical,HCC,Anhui HCC,CSR,5000,Number
Anhui KSOE_Huaibei Mining,Metallurgical,HCC,Anhui HCC,FC,5000,%
Anhui KSOE_Huaibei Mining,Metallurgical,HCC,Anhui HCC,HGI,5000,Number
Anhui KSOE_Huaibei Mining,Metallurgical,HCC,Anhui HCC,IM,5000,%
Anhui KSOE_Huaibei Mining,Metallurgical,HCC,Anhui HCC,Max Fluid,5000,ddpm
Anhui KSOE_Huaibei Mining,Metallurgical,HCC,Anhui HCC,N,5000,%
Anhui KSOE_Huaibei Mining,Metallurgical,HCC,Anhui HCC,P,5000,%
Anhui KSOE_Huaibei Mining,Metallurgical,HCC,Anhui HCC,Ro Max,5000,%
Anhui KSOE_Huaibei Mining,Metallurgical,HCC,Anhui HCC,SE gad,5000,kcal/kg
Anhui KSOE_Huaibei Mining,Metallurgical,HCC,Anhui HCC,SE gar,5000,kcal/kg
Anhui KSOE_Huaibei Mining,Metallurgical,HCC,Anhui HCC,SE nar,5000,kcal/kg
Anhui KSOE_Huaibei Mining,Metallurgical,HCC,Anhui HCC,TM,5000,%
Anhui KSOE_Huaibei Mining,Metallurgical,HCC,Anhui HCC,TS,5000,%
Anhui KSOE_Huaibei Mining,Metallurgical,HCC,Anhui HCC,Vitrinite,5000,%
Anhui KSOE_Huaibei Mining,Metallurgical,HCC,Anhui HCC,VM,5000,%
Anhui KSOE_Huaibei Mining,Metallurgical,HCC,Anhui HCC,VM,5000,%
Anhui KSOE_Huaibei Mining,Metallurgical,HCC,Anhui HCC,VM,5000,%
Anhui KSOE_Huaibei Mining,Metallurgical,SCC,Anhui SCC,AFT IDT Ox,5000,??C
Anhui KSOE_Huaibei Mining,Metallurgical,SCC,Anhui SCC,Ash,5000,%
Anhui KSOE_Huaibei Mining,Metallurgical,SCC,Anhui SCC,Cl2,5000,%
Anhui KSOE_Huaibei Mining,Metallurgical,SCC,Anhui SCC,CSN,5000,Number
Anhui KSOE_Huaibei Mining,Metallurgical,SCC,Anhui SCC,CSR,5000,Number
Anhui KSOE_Huaibei Mining,Metallurgical,SCC,Anhui SCC,FC,5000,%
Anhui KSOE_Huaibei Mining,Metallurgical,SCC,Anhui SCC,HGI,5000,Number
Anhui KSOE_Huaibei Mining,Metallurgical,SCC,Anhui SCC,IM,5000,%
Anhui KSOE_Huaibei Mining,Metallurgical,SCC,Anhui SCC,Max Fluid,5000,ddpm
Anhui KSOE_Huaibei Mining,Metallurgical,SCC,Anhui SCC,N,5000,%
Anhui KSOE_Huaibei Mining,Metallurgical,SCC,Anhui SCC,P,5000,%
Anhui KSOE_Huaibei Mining,Metallurgical,SCC,Anhui SCC,Ro Max,5000,%
Anhui KSOE_Huaibei Mining,Metallurgical,SCC,Anhui SCC,SE gad,5000,kcal/kg
Anhui KSOE_Huaibei Mining,Metallurgical,SCC,Anhui SCC,SE gar,5000,kcal/kg
Anhui KSOE_Huaibei Mining,Metallurgical,SCC,Anhui SCC,SE nar,5000,kcal/kg
Anhui KSOE_Huaibei Mining,Metallurgical,SCC,Anhui SCC,TM,5000,%
Anhui KSOE_Huaibei Mining,Metallurgical,SCC,Anhui SCC,TS,5000,%
Anhui KSOE_Huaibei Mining,Metallurgical,SCC,Anhui SCC,Vitrinite,5000,%
Anhui KSOE_Huaibei Mining,Metallurgical,SCC,Anhui SCC,VM,5000,%
Anhui KSOE_Huaibei Mining,Metallurgical,SCC,Anhui SCC,VM,5000,%
Anhui KSOE_Huaibei Mining,Thermal,Bituminous,Huaibei Mining Bituminous,AFT IDT Ox,5000,??C
Anhui KSOE_Huaibei Mining,Thermal,Bituminous,Huaibei Mining Bituminous,Ash,5000,%
Anhui KSOE_Huaibei Mining,Thermal,Bituminous,Huaibei Mining Bituminous,Cl2,5000,%
Anhui KSOE_Huaibei Mining,Thermal,Bituminous,Huaibei Mining Bituminous,CSN,5000,Number
Anhui KSOE_Huaibei Mining,Thermal,Bituminous,Huaibei Mining Bituminous,CSR,5000,Number
Anhui KSOE_Huaibei Mining,Thermal,Bituminous,Huaibei Mining Bituminous,FC,5000,%
Anhui KSOE_Huaibei Mining,Thermal,Bituminous,Huaibei Mining Bituminous,HGI,5000,Number
Anhui KSOE_Huaibei Mining,Thermal,Bituminous,Huaibei Mining Bituminous,IM,5000,%
Anhui KSOE_Huaibei Mining,Thermal,Bituminous,Huaibei Mining Bituminous,Max Fluid,5000,ddpm
Anhui KSOE_Huaibei Mining,Thermal,Bituminous,Huaibei Mining Bituminous,N,5000,%
Anhui KSOE_Huaibei Mining,Thermal,Bituminous,Huaibei Mining Bituminous,P,5000,%
Anhui KSOE_Huaibei Mining,Thermal,Bituminous,Huaibei Mining Bituminous,Ro Max,5000,%
Anhui KSOE_Huaibei Mining,Thermal,Bituminous,Huaibei Mining Bituminous,SE gad,5000,kcal/kg
Anhui KSOE_Huaibei Mining,Thermal,Bituminous,Huaibei Mining Bituminous,SE gar,5000,kcal/kg
Anhui KSOE_Huaibei Mining,Thermal,Bituminous,Huaibei Mining Bituminous,SE nar,5000,kcal/kg
Anhui KSOE_Huaibei Mining,Thermal,Bituminous,Huaibei Mining Bituminous,TM,5000,%
Anhui KSOE_Huaibei Mining,Thermal,Bituminous,Huaibei Mining Bituminous,TS,5000,%
Anhui KSOE_Huaibei Mining,Thermal,Bituminous,Huaibei Mining Bituminous,Vitrinite,5000,%
Anhui KSOE_Huaibei Mining,Thermal,Bituminous,Huaibei Mining Bituminous,VM,5000,%
Anhui KSOE_Xinji Energy,Thermal,Bituminous,Anhui 5500,AFT IDT Ox,5000,??C
Anhui KSOE_Xinji Energy,Thermal,Bituminous,Anhui 5500,Ash,5000,%
Anhui KSOE_Xinji Energy,Thermal,Bituminous,Anhui 5500,Cl2,5000,%
Anhui KSOE_Xinji Energy,Thermal,Bituminous,Anhui 5500,CSN,5000,Number
Anhui KSOE_Xinji Energy,Thermal,Bituminous,Anhui 5500,CSR,5000,Number
Anhui KSOE_Xinji Energy,Thermal,Bituminous,Anhui 5500,FC,5000,%
Anhui KSOE_Xinji Energy,Thermal,Bituminous,Anhui 5500,HGI,5000,Number
Anhui KSOE_Xinji Energy,Thermal,Bituminous,Anhui 5500,IM,5000,%
Anhui KSOE_Xinji Energy,Thermal,Bituminous,Anhui 5500,Max Fluid,5000,ddpm
Anhui KSOE_Xinji Energy,Thermal,Bituminous,Anhui 5500,N,5000,%
Anhui KSOE_Xinji Energy,Thermal,Bituminous,Anhui 5500,P,5000,%
Anhui KSOE_Xinji Energy,Thermal,Bituminous,Anhui 5500,Ro Max,5000,%
Anhui KSOE_Xinji Energy,Thermal,Bituminous,Anhui 5500,SE gad,5000,kcal/kg
Anhui KSOE_Xinji Energy,Thermal,Bituminous,Anhui 5500,SE gar,5000,kcal/kg
Anhui KSOE_Xinji Energy,Thermal,Bituminous,Anhui 5500,SE nar,5000,kcal/kg
Anhui KSOE_Xinji Energy,Thermal,Bituminous,Anhui 5500,TM,5000,%
Anhui KSOE_Xinji Energy,Thermal,Bituminous,Anhui 5500,TS,5000,%
Anhui KSOE_Xinji Energy,Thermal,Bituminous,Anhui 5500,Vitrinite,5000,%
Anhui KSOE_Xinji Energy,Thermal,Bituminous,Anhui 5500,VM,5000,%
Anhui Other Mines,Thermal,Bituminous,Anhui 5500,AFT IDT Ox,5000,??C
Anhui Other Mines,Thermal,Bituminous,Anhui 5500,Ash,5000,%
Anhui Other Mines,Thermal,Bituminous,Anhui 5500,Cl2,5000,%
Anhui Other Mines,Thermal,Bituminous,Anhui 5500,CSN,5000,Number
Anhui Other Mines,Thermal,Bituminous,Anhui 5500,CSR,5000,Number
Anhui Other Mines,Thermal,Bituminous,Anhui 5500,FC,5000,%
Anhui Other Mines,Thermal,Bituminous,Anhui 5500,HGI,5000,Number
Anhui Other Mines,Thermal,Bituminous,Anhui 5500,IM,5000,%
Anhui Other Mines,Thermal,Bituminous,Anhui 5500,Max Fluid,5000,ddpm
Anhui Other Mines,Thermal,Bituminous,Anhui 5500,N,5000,%
Anhui Other Mines,Thermal,Bituminous,Anhui 5500,P,5000,%
Anhui Other Mines,Thermal,Bituminous,Anhui 5500,Ro Max,5000,%
Anhui Other Mines,Thermal,Bituminous,Anhui 5500,SE gad,5000,kcal/kg
Anhui Other Mines,Thermal,Bituminous,Anhui 5500,SE gar,5000,kcal/kg
Anhui Other Mines,Thermal,Bituminous,Anhui 5500,SE nar,5000,kcal/kg
Anhui Other Mines,Thermal,Bituminous,Anhui 5500,TM,5000,%
Anhui Other Mines,Thermal,Bituminous,Anhui 5500,TS,5000,%
Anhui Other Mines,Thermal,Bituminous,Anhui 5500,Vitrinite,5000,%
Anhui Other Mines,Thermal,Bituminous,Anhui 5500,VM,5000,%
Anhui Other Mines,Metallurgical,HCC,Anhui HCC,AFT IDT Ox,5000,??C
Anhui Other Mines,Metallurgical,HCC,Anhui HCC,Ash,5000,%
Anhui Other Mines,Metallurgical,HCC,Anhui HCC,Cl2,5000,%
Anhui Other Mines,Metallurgical,HCC,Anhui HCC,CSN,5000,Number
Anhui Other Mines,Metallurgical,HCC,Anhui HCC,CSR,5000,Number
Anhui Other Mines,Metallurgical,HCC,Anhui HCC,CSR,5000,Number
Anhui Other Mines,Metallurgical,HCC,Anhui HCC,CSR,5000,Number
Anhui Other Mines,Metallurgical,HCC,Anhui HCC,FC,5000,%
Anhui Other Mines,Metallurgical,HCC,Anhui HCC,HGI,5000,Number
Anhui Other Mines,Metallurgical,HCC,Anhui HCC,IM,5000,%
Anhui Other Mines,Metallurgical,HCC,Anhui HCC,Max Fluid,5000,ddpm
Anhui Other Mines,Metallurgical,HCC,Anhui HCC,N,5000,%
Anhui Other Mines,Metallurgical,HCC,Anhui HCC,P,5000,%
Anhui Other Mines,Metallurgical,HCC,Anhui HCC,Ro Max,5000,%
Anhui Other Mines,Metallurgical,HCC,Anhui HCC,SE gad,5000,kcal/kg
Anhui Other Mines,Metallurgical,HCC,Anhui HCC,SE gar,5000,kcal/kg
Anhui Other Mines,Metallurgical,HCC,Anhui HCC,SE nar,5000,kcal/kg
