Mine.Name,Product.Type,Product.Subtype,Product.Market,Market.Type,Operating.Status,Year,Metric.Value..Real.
Inner Mongolia (East) KSOE Surface,Thermal,Lignite,Domestic,Non-coastal,Operating,2025,100
Inner Mongolia (East) KSOE Surface,Thermal,Lignite,Domestic,Coastal,Operating,2026,100
Inner Mongolia (East) KSOE Surface,Thermal,Lignite,Domestic,Non-coastal,Operating,2026,100
Inner Mongolia (East) KSOE Surface,Thermal,Lignite,Domestic,Coastal,Operating,2027,100
Inner Mongolia (East) KSOE Surface,Thermal,Lignite,Domestic,Non-coastal,Operating,2027,100
Inner Mongolia (East) KSOE Surface,Thermal,Lignite,Domestic,Coastal,Operating,2028,100
Inner Mongolia (East) KSOE Surface,Thermal,Lignite,Domestic,Non-coastal,Operating,2028,100
Inner Mongolia (East) KSOE Surface,Thermal,Lignite,Domestic,Coastal,Operating,2029,100
Inner Mongolia (East) KSOE Surface,Thermal,Lignite,Domestic,Non-coastal,Operating,2029,100
Inner Mongolia (East) KSOE Surface,Thermal,Lignite,Domestic,Coastal,Operating,2030,100
Inner Mongolia (East) KSOE Surface,Thermal,Lignite,Domestic,Non-coastal,Operating,2030,100
Shanxi (North) KSOE_Datong Coal,Metallurgical,SCC,Domestic,Non-coastal,Operating,2024,100
Shanxi (North) KSOE_Datong Coal,Thermal,Bituminous,Domestic,Coastal,Operating,2024,100
Shanxi (North) KSOE_Datong Coal,Thermal,Bituminous,Domestic,Non-coastal,Operating,2024,100
Shanxi (North) KSOE_Datong Coal,Metallurgical,SCC,Domestic,Coastal,Operating,2025,100
Shanxi (North) KSOE_Datong Coal,Metallurgical,SCC,Domestic,Non-coastal,Operating,2025,100
Shanxi (North) KSOE_Datong Coal,Thermal,Bituminous,Domestic,Coastal,Operating,2025,100
Shanxi (North) KSOE_Datong Coal,Thermal,Bituminous,Domestic,Non-coastal,Operating,2025,100
Shanxi (North) KSOE_Datong Coal,Metallurgical,SCC,Domestic,Coastal,Operating,2026,100
Shanxi (North) KSOE_Datong Coal,Metallurgical,SCC,Domestic,Non-coastal,Operating,2026,100
Shanxi (West) KSOE,Thermal,Bituminous,Domestic,Coastal,Operating,2019,100
Shanxi (West) KSOE,Thermal,Anthracite,Domestic,Coastal,Operating,2019,100
Shanxi (West) KSOE,Thermal,Bituminous,Domestic,Non-coastal,Operating,2019,100
Shanxi (West) KSOE,Thermal,Anthracite,Domestic,Non-coastal,Operating,2019,100
Shanxi (West) KSOE,Metallurgical,HCC,Domestic,Coastal,Operating,2020,100
Shanxi (West) KSOE,Metallurgical,SCC,Domestic,Coastal,Operating,2020,100
Shanxi (West) KSOE,Metallurgical,PCI,Domestic,Coastal,Operating,2020,100
Shanxi (West) KSOE,Metallurgical,HCC,Domestic,Non-coastal,Operating,2020,100
Shanxi (West) KSOE,Metallurgical,SCC,Domestic,Non-coastal,Operating,2020,100
Shanxi (West) KSOE,Metallurgical,PCI,Domestic,Non-coastal,Operating,2020,100
Shanxi (West) KSOE,Thermal,Bituminous,Domestic,Coastal,Operating,2020,100
Shanxi (West) KSOE,Thermal,Anthracite,Domestic,Coastal,Operating,2020,100
Shanxi (West) KSOE,Thermal,Bituminous,Domestic,Non-coastal,Operating,2020,100
Shanxi (West) other mines,Metallurgical,SCC,Domestic,Non-coastal,Operating,2021,100
Shanxi (West) other mines,Metallurgical,PCI,Domestic,Non-coastal,Operating,2021,100
Shanxi (West) other mines,Thermal,Bituminous,Domestic,Coastal,Operating,2021,100
Shanxi (West) other mines,Thermal,Anthracite,Domestic,Coastal,Operating,2021,100
Shanxi (West) other mines,Thermal,Bituminous,Domestic,Non-coastal,Operating,2021,100
Shanxi (West) other mines,Thermal,Anthracite,Domestic,Non-coastal,Operating,2021,100
Shanxi (West) other mines,Metallurgical,HCC,Domestic,Coastal,Operating,2022,100
Shanxi (West) other mines,Metallurgical,SCC,Domestic,Coastal,Operating,2022,100
Shanxi (West) other mines,Metallurgical,PCI,Domestic,Coastal,Operating,2022,100
Shanxi (West) other mines,Metallurgical,HCC,Domestic,Non-coastal,Operating,2022,100
Shanxi (West) other mines,Metallurgical,SCC,Domestic,Non-coastal,Operating,2022,100
Shanxi (West) other mines,Metallurgical,PCI,Domestic,Non-coastal,Operating,2022,100
Shanxi (West) other mines,Thermal,Bituminous,Domestic,Coastal,Operating,2022,100
Shanxi (West) other mines,Thermal,Anthracite,Domestic,Coastal,Operating,2022,100
Sichuan KSOE,Thermal,Anthracite,Domestic,Non-coastal,Operating,2017,100
Sichuan KSOE,Metallurgical,HCC,Domestic,Non-coastal,Operating,2018,100
Sichuan KSOE,Metallurgical,SCC,Domestic,Non-coastal,Operating,2018,100
Sichuan KSOE,Thermal,Bituminous,Domestic,Non-coastal,Operating,2018,100
Sichuan KSOE,Thermal,Anthracite,Domestic,Non-coastal,Operating,2018,100
Sichuan KSOE,Metallurgical,HCC,Domestic,Non-coastal,Operating,2019,100
Sichuan KSOE,Metallurgical,SCC,Domestic,Non-coastal,Operating,2019,100
Sichuan KSOE,Thermal,Bituminous,Domestic,Non-coastal,Operating,2019,100
Sichuan KSOE,Thermal,Anthracite,Domestic,Non-coastal,Operating,2019,100
Sichuan KSOE,Metallurgical,HCC,Domestic,Non-coastal,Operating,2020,100
Sichuan KSOE,Metallurgical,SCC,Domestic,Non-coastal,Operating,2020,100
Sichuan KSOE,Thermal,Bituminous,Domestic,Non-coastal,Operating,2020,100
Sichuan KSOE,Thermal,Anthracite,Domestic,Non-coastal,Operating,2020,100
Sichuan KSOE,Metallurgical,HCC,Domestic,Non-coastal,Operating,2021,100
Sichuan KSOE,Metallurgical,SCC,Domestic,Non-coastal,Operating,2021,100
Sichuan KSOE,Thermal,Bituminous,Domestic,Non-coastal,Operating,2021,100
Sichuan KSOE,Thermal,Anthracite,Domestic,Non-coastal,Operating,2021,100
Sichuan KSOE,Metallurgical,HCC,Domestic,Non-coastal,Operating,2022,100
Sichuan Other Mines,Metallurgical,HCC,Domestic,Non-coastal,Operating,2015,100
Sichuan Other Mines,Metallurgical,SCC,Domestic,Non-coastal,Operating,2015,100
Sichuan Other Mines,Thermal,Bituminous,Domestic,Non-coastal,Operating,2015,100
Sichuan Other Mines,Thermal,Anthracite,Domestic,Non-coastal,Operating,2015,100
Sichuan Other Mines,Metallurgical,HCC,Domestic,Non-coastal,Operating,2016,100
Sichuan Other Mines,Metallurgical,SCC,Domestic,Non-coastal,Operating,2016,100
Sichuan Other Mines,Thermal,Bituminous,Domestic,Non-coastal,Operating,2016,100
Sichuan Other Mines,Thermal,Anthracite,Domestic,Non-coastal,Operating,2016,100
Sichuan Other Mines,Metallurgical,HCC,Domestic,Non-coastal,Operating,2017,100
Sichuan Other Mines,Metallurgical,SCC,Domestic,Non-coastal,Operating,2017,100
Sichuan Other Mines_Hidili,Metallurgical,HCC,Domestic,Non-coastal,Operating,2015,100
Wuhai Other Mines,Thermal,Bituminous,Domestic,Non-coastal,Operating,2029,100
Wuhai Other Mines,Metallurgical,HCC,Domestic,Non-coastal,Operating,2030,100
Wuhai Other Mines,Metallurgical,SCC,Domestic,Non-coastal,Operating,2030,100
Wuhai Other Mines,Thermal,Bituminous,Domestic,Non-coastal,Operating,2030,100
Inner Mongolia (East) KSOE Surface_Huolinhe Opencut,Thermal,Lignite,Domestic,Coastal,Operating,2015,100
Inner Mongolia (East) KSOE Surface_Huolinhe Opencut,Thermal,Lignite,Domestic,Non-coastal,Operating,2015,100
Inner Mongolia (East) KSOE Surface_Huolinhe Opencut,Thermal,Lignite,Domestic,Coastal,Operating,2016,100
Inner Mongolia (East) KSOE Surface_Huolinhe Opencut,Thermal,Lignite,Domestic,Non-coastal,Operating,2016,100
Inner Mongolia (East) KSOE Surface_Huolinhe Opencut,Thermal,Lignite,Domestic,Coastal,Operating,2017,100
Inner Mongolia (East) KSOE Surface_Huolinhe Opencut,Thermal,Lignite,Domestic,Non-coastal,Operating,2017,100
Inner Mongolia (East) KSOE Surface_Huolinhe Opencut,Thermal,Lignite,Domestic,Coastal,Operating,2018,100
Inner Mongolia (East) KSOE Surface_Huolinhe Opencut,Thermal,Lignite,Domestic,Non-coastal,Operating,2018,100
Inner Mongolia (East) KSOE Surface_Huolinhe Opencut,Thermal,Lignite,Domestic,Coastal,Operating,2019,100
Inner Mongolia (East) KSOE Surface_Huolinhe Opencut,Thermal,Lignite,Domestic,Non-coastal,Operating,2019,100
Inner Mongolia (East) KSOE Surface_Huolinhe Opencut,Thermal,Lignite,Domestic,Coastal,Operating,2020,100
Inner Mongolia (East) KSOE Surface_Huolinhe Opencut,Thermal,Lignite,Domestic,Non-coastal,Operating,2020,100
Inner Mongolia (East) KSOE Surface_Huolinhe Opencut,Thermal,Lignite,Domestic,Coastal,Operating,2021,100
Inner Mongolia (East) KSOE Surface_Huolinhe Opencut,Thermal,Lignite,Domestic,Non-coastal,Operating,2021,100
Inner Mongolia (East) KSOE Surface_Huolinhe Opencut,Thermal,Lignite,Domestic,Coastal,Operating,2022,100
Inner Mongolia (East) KSOE Surface_Huolinhe Opencut,Thermal,Lignite,Domestic,Non-coastal,Operating,2022,100
Sichuan Other Mines_Hidili,Thermal,Bituminous,Domestic,Non-coastal,Operating,2015,100
Sichuan Other Mines_Hidili,Metallurgical,HCC,Domestic,Non-coastal,Operating,2016,100
Sichuan Other Mines_Hidili,Thermal,Bituminous,Domestic,Non-coastal,Operating,2016,100
Sichuan Other Mines_Hidili,Metallurgical,HCC,Domestic,Non-coastal,Operating,2017,100
Sichuan Other Mines_Hidili,Thermal,Bituminous,Domestic,Non-coastal,Operating,2017,100
Sichuan Other Mines_Hidili,Metallurgical,HCC,Domestic,Non-coastal,Operating,2018,100
Sichuan Other Mines_Hidili,Thermal,Bituminous,Domestic,Non-coastal,Operating,2018,100
Sichuan Other Mines_Hidili,Metallurgical,HCC,Domestic,Non-coastal,Operating,2019,100
Sichuan Other Mines_Hidili,Thermal,Bituminous,Domestic,Non-coastal,Operating,2019,100
Sichuan Other Mines_Hidili,Metallurgical,HCC,Domestic,Non-coastal,Operating,2020,100
Sichuan Other Mines_Hidili,Thermal,Bituminous,Domestic,Non-coastal,Operating,2020,100
Sichuan Other Mines_Hidili,Metallurgical,HCC,Domestic,Non-coastal,Operating,2021,100
Sichuan Other Mines_Hidili,Thermal,Bituminous,Domestic,Non-coastal,Operating,2021,100
Sichuan Other Mines_Hidili,Metallurgical,HCC,Domestic,Non-coastal,Operating,2022,100
Sichuan Other Mines_Hidili,Thermal,Bituminous,Domestic,Non-coastal,Operating,2022,100
Sichuan Other Mines_Hidili,Metallurgical,HCC,Domestic,Non-coastal,Operating,2023,100
Sichuan Other Mines_Hidili,Thermal,Bituminous,Domestic,Non-coastal,Operating,2023,100
Sichuan Other Mines_Hidili,Metallurgical,HCC,Domestic,Non-coastal,Operating,2024,100
Sichuan Other Mines_Hidili,Thermal,Bituminous,Domestic,Non-coastal,Operating,2024,100
Sichuan Other Mines_Hidili,Metallurgical,HCC,Domestic,Non-coastal,Operating,2025,100
Sichuan Other Mines_Hidili,Thermal,Bituminous,Domestic,Non-coastal,Operating,2025,100
Inner Mongolia (East) KSOE Surface_Huolinhe Opencut,Thermal,Lignite,Domestic,Coastal,Operating,2023,100
Inner Mongolia (East) KSOE Surface_Huolinhe Opencut,Thermal,Lignite,Domestic,Non-coastal,Operating,2023,100
Inner Mongolia (East) KSOE Surface_Huolinhe Opencut,Thermal,Lignite,Domestic,Coastal,Operating,2024,100
Inner Mongolia (East) KSOE Surface_Huolinhe Opencut,Thermal,Lignite,Domestic,Non-coastal,Operating,2024,100
Inner Mongolia (East) KSOE Surface_Huolinhe Opencut,Thermal,Lignite,Domestic,Coastal,Operating,2025,100
Inner Mongolia (East) KSOE Surface_Huolinhe Opencut,Thermal,Lignite,Domestic,Non-coastal,Operating,2025,100
Inner Mongolia (East) KSOE Surface_Huolinhe Opencut,Thermal,Lignite,Domestic,Coastal,Operating,2026,100
Inner Mongolia (East) KSOE Surface_Huolinhe Opencut,Thermal,Lignite,Domestic,Non-coastal,Operating,2026,100
Inner Mongolia (East) KSOE Surface_Huolinhe Opencut,Thermal,Lignite,Domestic,Coastal,Operating,2027,100
Inner Mongolia (East) KSOE Surface_Huolinhe Opencut,Thermal,Lignite,Domestic,Non-coastal,Operating,2027,100
Inner Mongolia (East) KSOE Surface_Huolinhe Opencut,Thermal,Lignite,Domestic,Coastal,Operating,2028,100
Inner Mongolia (East) KSOE Surface_Huolinhe Opencut,Thermal,Lignite,Domestic,Non-coastal,Operating,2028,100
Inner Mongolia (East) KSOE Surface_Huolinhe Opencut,Thermal,Lignite,Domestic,Coastal,Operating,2029,100
Inner Mongolia (East) KSOE Surface_Huolinhe Opencut,Thermal,Lignite,Domestic,Non-coastal,Operating,2029,100
Inner Mongolia (East) KSOE Surface_Huolinhe Opencut,Thermal,Lignite,Domestic,Coastal,Operating,2030,100
Inner Mongolia (East) KSOE Surface_Huolinhe Opencut,Thermal,Lignite,Domestic,Non-coastal,Operating,2030,100
Shanxi (West) KSOE,Thermal,Anthracite,Domestic,Non-coastal,Operating,2020,100
Shanxi (West) KSOE,Metallurgical,HCC,Domestic,Coastal,Operating,2021,100
Shanxi (West) KSOE,Metallurgical,SCC,Domestic,Coastal,Operating,2021,100
Shanxi (West) KSOE,Metallurgical,PCI,Domestic,Coastal,Operating,2021,100
Shanxi (West) KSOE,Metallurgical,HCC,Domestic,Non-coastal,Operating,2021,100
Shanxi (West) KSOE,Metallurgical,SCC,Domestic,Non-coastal,Operating,2021,100
Shanxi (West) KSOE,Metallurgical,PCI,Domestic,Non-coastal,Operating,2021,100
Shanxi (West) KSOE,Thermal,Bituminous,Domestic,Coastal,Operating,2021,100
Shanxi (West) KSOE,Thermal,Anthracite,Domestic,Coastal,Operating,2021,100
Shanxi (West) KSOE,Thermal,Bituminous,Domestic,Non-coastal,Operating,2021,100
Shanxi (West) KSOE,Thermal,Anthracite,Domestic,Non-coastal,Operating,2021,100
Shanxi (West) KSOE,Metallurgical,HCC,Domestic,Coastal,Operating,2022,100
Shanxi (West) KSOE,Metallurgical,SCC,Domestic,Coastal,Operating,2022,100
Shanxi (West) KSOE,Metallurgical,PCI,Domestic,Coastal,Operating,2022,100
Shanxi (West) KSOE,Metallurgical,HCC,Domestic,Non-coastal,Operating,2022,100
Shanxi (West) KSOE,Metallurgical,SCC,Domestic,Non-coastal,Operating,2022,100
Shanxi (West) KSOE,Metallurgical,PCI,Domestic,Non-coastal,Operating,2022,100
Shanxi (West) KSOE,Thermal,Bituminous,Domestic,Coastal,Operating,2022,100
Shanxi (West) KSOE,Thermal,Anthracite,Domestic,Coastal,Operating,2022,100
Shanxi (West) KSOE,Thermal,Bituminous,Domestic,Non-coastal,Operating,2022,100
Shanxi (West) KSOE,Thermal,Anthracite,Domestic,Non-coastal,Operating,2022,100
Shanxi (West) KSOE,Metallurgical,HCC,Domestic,Coastal,Operating,2023,100
Shanxi (West) other mines,Thermal,Bituminous,Domestic,Non-coastal,Operating,2022,100
Shanxi (West) other mines,Thermal,Anthracite,Domestic,Non-coastal,Operating,2022,100
Shanxi (West) other mines,Metallurgical,HCC,Domestic,Coastal,Operating,2023,100
Shanxi (West) other mines,Metallurgical,SCC,Domestic,Coastal,Operating,2023,100
Shanxi (West) other mines,Metallurgical,PCI,Domestic,Coastal,Operating,2023,100
Shanxi (West) other mines,Metallurgical,HCC,Domestic,Non-coastal,Operating,2023,100
Shanxi (West) other mines,Metallurgical,SCC,Domestic,Non-coastal,Operating,2023,100
Shanxi (West) other mines,Metallurgical,PCI,Domestic,Non-coastal,Operating,2023,100
Shanxi (West) other mines,Thermal,Bituminous,Domestic,Coastal,Operating,2023,100
Shanxi (West) other mines,Thermal,Anthracite,Domestic,Coastal,Operating,2023,100
Shanxi (West) other mines,Thermal,Bituminous,Domestic,Non-coastal,Operating,2023,100
Shanxi (West) other mines,Thermal,Anthracite,Domestic,Non-coastal,Operating,2023,100
Shanxi (West) other mines,Metallurgical,HCC,Domestic,Coastal,Operating,2024,100
Shanxi (West) other mines,Metallurgical,SCC,Domestic,Coastal,Operating,2024,100
Shanxi (West) other mines,Metallurgical,PCI,Domestic,Coastal,Operating,2024,100
Shanxi (West) other mines,Metallurgical,HCC,Domestic,Non-coastal,Operating,2024,100
Shanxi (West) other mines,Metallurgical,SCC,Domestic,Non-coastal,Operating,2024,100
Shanxi (West) other mines,Metallurgical,PCI,Domestic,Non-coastal,Operating,2024,100
Shanxi (West) other mines,Thermal,Bituminous,Domestic,Coastal,Operating,2024,100
Shanxi (West) other mines,Thermal,Anthracite,Domestic,Coastal,Operating,2024,100
Shanxi (West) other mines,Thermal,Bituminous,Domestic,Non-coastal,Operating,2024,100
Shanxi (West) other mines,Thermal,Anthracite,Domestic,Non-coastal,Operating,2024,100
Shanxi (West) other mines,Metallurgical,HCC,Domestic,Coastal,Operating,2025,100
Shanxi (West) other mines,Metallurgical,SCC,Domestic,Coastal,Operating,2025,100
Shanxi (West) other mines,Metallurgical,PCI,Domestic,Coastal,Operating,2025,100
Shanxi (West) other mines,Metallurgical,HCC,Domestic,Non-coastal,Operating,2025,100
Sichuan KSOE,Metallurgical,SCC,Domestic,Non-coastal,Operating,2022,100
Sichuan KSOE,Thermal,Bituminous,Domestic,Non-coastal,Operating,2022,100
Sichuan KSOE,Thermal,Anthracite,Domestic,Non-coastal,Operating,2022,100
Sichuan KSOE,Metallurgical,HCC,Domestic,Non-coastal,Operating,2023,100
Sichuan KSOE,Metallurgical,SCC,Domestic,Non-coastal,Operating,2023,100
Sichuan KSOE,Thermal,Bituminous,Domestic,Non-coastal,Operating,2023,100
Sichuan KSOE,Thermal,Anthracite,Domestic,Non-coastal,Operating,2023,100
Sichuan KSOE,Metallurgical,HCC,Domestic,Non-coastal,Operating,2024,100
Sichuan KSOE,Metallurgical,SCC,Domestic,Non-coastal,Operating,2024,100
Sichuan KSOE,Thermal,Bituminous,Domestic,Non-coastal,Operating,2024,100
Sichuan KSOE,Thermal,Anthracite,Domestic,Non-coastal,Operating,2024,100
Sichuan KSOE,Metallurgical,HCC,Domestic,Non-coastal,Operating,2025,100
Sichuan KSOE,Metallurgical,SCC,Domestic,Non-coastal,Operating,2025,100
Sichuan KSOE,Thermal,Bituminous,Domestic,Non-coastal,Operating,2025,100
Sichuan KSOE,Thermal,Anthracite,Domestic,Non-coastal,Operating,2025,100
Sichuan KSOE,Metallurgical,HCC,Domestic,Non-coastal,Operating,2026,100
Sichuan KSOE,Metallurgical,SCC,Domestic,Non-coastal,Operating,2026,100
Sichuan KSOE,Thermal,Bituminous,Domestic,Non-coastal,Operating,2026,100
Sichuan KSOE,Thermal,Anthracite,Domestic,Non-coastal,Operating,2026,100
Sichuan KSOE,Metallurgical,HCC,Domestic,Non-coastal,Operating,2027,100
Sichuan KSOE,Metallurgical,SCC,Domestic,Non-coastal,Operating,2027,100
Sichuan KSOE,Thermal,Bituminous,Domestic,Non-coastal,Operating,2027,100
Sichuan KSOE,Thermal,Anthracite,Domestic,Non-coastal,Operating,2027,100
Sichuan KSOE,Metallurgical,HCC,Domestic,Non-coastal,Operating,2028,100
Sichuan KSOE,Metallurgical,SCC,Domestic,Non-coastal,Operating,2028,100
Sichuan KSOE,Thermal,Bituminous,Domestic,Non-coastal,Operating,2028,100
Sichuan KSOE,Thermal,Anthracite,Domestic,Non-coastal,Operating,2028,100
Sichuan Other Mines,Thermal,Bituminous,Domestic,Non-coastal,Operating,2017,100
Sichuan Other Mines,Thermal,Anthracite,Domestic,Non-coastal,Operating,2017,100
Sichuan Other Mines,Metallurgical,HCC,Domestic,Non-coastal,Operating,2018,100
Sichuan Other Mines,Metallurgical,SCC,Domestic,Non-coastal,Operating,2018,100
Sichuan Other Mines,Thermal,Bituminous,Domestic,Non-coastal,Operating,2018,100
Sichuan Other Mines,Thermal,Anthracite,Domestic,Non-coastal,Operating,2018,100
Sichuan Other Mines,Metallurgical,HCC,Domestic,Non-coastal,Operating,2019,100
Sichuan Other Mines,Metallurgical,SCC,Domestic,Non-coastal,Operating,2019,100
Sichuan Other Mines,Thermal,Bituminous,Domestic,Non-coastal,Operating,2019,100
Sichuan Other Mines,Thermal,Anthracite,Domestic,Non-coastal,Operating,2019,100
Sichuan Other Mines,Metallurgical,HCC,Domestic,Non-coastal,Operating,2020,100
Sichuan Other Mines,Metallurgical,SCC,Domestic,Non-coastal,Operating,2020,100
Sichuan Other Mines,Thermal,Bituminous,Domestic,Non-coastal,Operating,2020,100
Sichuan Other Mines,Thermal,Anthracite,Domestic,Non-coastal,Operating,2020,100
Sichuan Other Mines,Metallurgical,HCC,Domestic,Non-coastal,Operating,2021,100
Sichuan Other Mines,Metallurgical,SCC,Domestic,Non-coastal,Operating,2021,100
Sichuan Other Mines,Thermal,Bituminous,Domestic,Non-coastal,Operating,2021,100
Sichuan Other Mines,Thermal,Anthracite,Domestic,Non-coastal,Operating,2021,100
Sichuan Other Mines,Metallurgical,HCC,Domestic,Non-coastal,Operating,2022,100
Sichuan Other Mines,Metallurgical,SCC,Domestic,Non-coastal,Operating,2022,100
Sichuan Other Mines,Thermal,Bituminous,Domestic,Non-coastal,Operating,2022,100
Sichuan Other Mines,Thermal,Anthracite,Domestic,Non-coastal,Operating,2022,100
Sichuan Other Mines,Metallurgical,HCC,Domestic,Non-coastal,Operating,2023,100
Sichuan Other Mines,Metallurgical,SCC,Domestic,Non-coastal,Operating,2023,100
Shanxi (East) KSOE,Metallurgical,HCC,Domestic,Coastal,Operating,2015,100
Shanxi (East) KSOE,Metallurgical,SCC,Domestic,Coastal,Operating,2015,100
Shanxi (East) KSOE,Metallurgical,PCI,Domestic,Coastal,Operating,2015,100
Shanxi (East) KSOE,Metallurgical,HCC,Domestic,Non-coastal,Operating,2015,100
Shanxi (East) KSOE,Metallurgical,SCC,Domestic,Non-coastal,Operating,2015,100
Shanxi (East) KSOE,Metallurgical,PCI,Domestic,Non-coastal,Operating,2015,100
Shanxi (East) KSOE,Thermal,Bituminous,Domestic,Coastal,Operating,2015,100
Shanxi (East) KSOE,Thermal,Anthracite,Domestic,Coastal,Operating,2015,100
Shanxi (East) KSOE,Thermal,Bituminous,Domestic,Non-coastal,Operating,2015,100
Shanxi (East) KSOE,Thermal,Anthracite,Domestic,Non-coastal,Operating,2015,100
Shanxi (East) KSOE,Metallurgical,HCC,Domestic,Coastal,Operating,2016,100
Shanxi (East) KSOE,Metallurgical,SCC,Domestic,Coastal,Operating,2016,100
Shanxi (East) KSOE export,Thermal,Anthracite,Export,Seaborne,Operating,2026,100
